192	Djibouti	15690	0	189	0	15427	0	74	0	15441	186	305941	301094	1016097
193	CAR	15440	0	113	0	15200	0	127	2	3078	23	81294	16205	5016678
194	Gambia	12626	0	372	0	12189	0	65	0	4935	145	155686	60851	2558482
195	SaintMartin	12324	0	63	0	0	0	0	0	310194	1586	112382	2828643	39730
196	Vanuatu	12019	0	14	0	11976	0	29	0	37346	44	24976	77606	321832
197	Greenland	11971	0	21	0	2761	0	9189	4	210117	369	164926	2894810	56973
198	Yemen	11945	0	2159	0	9124	0	662	0	383	69	329592	10579	31154867
199	CaribbeanNetherlands	11682	0	38	0	10476	0	1168	0	438398	1426	30126	1130559	26647
200	SintMaarten	11051	0	92	0	10905	0	54	0	251353	2093	62056	1411454	43966
201	Eritrea	10189	0	103	0	10086	0	0	0	2782	28	23693	6470	3662244
202	Niger	9931	0	312	0	8890	0	729	1	381	12	254538	9759	26083660
203	St.VincentGrenadines	9674	0	124	0	9493	0	57	0	86723	1112	114197	1023720	111551
204	GuineaBissau	9614	0	177	0	8929	0	508	6	4659	86	145231	70385	2063367
205	Comoros	9109	0	161	0	8939	0	9	0	10038	177	0	0	907419
206	AntiguaandBarbuda	9106	0	146	0	8954	0	6	0	91509	1467	18901	189943	99509
207	Liberia	8090	0	295	0	7783	0	12	2	1525	56	139824	26356	5305117
208	SierraLeone	7779	0	126	0	0	0	0	0	937	15	259958	31296	8306436
209	Chad	7701	0	194	0	4874	0	2633	0	442	11	191341	10988	17413580
210	BritishVirginIslands	7392	0	64	0	0	0	0	0	241600	2092	107339	3508269	30596
211	CookIslands	7203	0	2	0	7150	0	51	0	409937	114	19690	1120596	17571
212	SaoTomeandPrincipe	6765	0	80	0	6679	0	6	0	29713	351	29600	130008	227679
213	TurksandCaicos	6752	0	40	0	6709	0	3	4	169900	1007	616788	15520193	39741
214	SaintKittsandNevis	6607	0	48	0	6559	0	0	0	122645	891	126958	2356704	53871
215	Palau	6290	0	10	0	6276	0	4	0	344979	548	71434	3917841	18233
216	St.Barth	5507	0	6	0	0	0	0	0	553746	603	78646	7908095	9945
217	Nauru	5393	0	1	0	5347	0	45	0	494635	92	20509	1881042	10903
218	Kiribati	5085	0	24	0	2703	0	2358	3	41201	194	0	0	123419
219	Anguilla	3904	0	12	0	0	0	0	0	256336	788	51382	3373736	15230
220	WallisandFutuna	3550	0	8	0	438	0	3104	0	323256	728	20508	1867419	10982
221	SaintPierreMiquelon	3452	0	2	0	2449	0	1001	0	599410	347	25400	4410488	5759
222	Tuvalu	2943	0	1	0	0	0	0	0	243909	83	0	0	12066
223	SaintHelena	2166	0	0	0	2	0	2164	0	354211	0	0	0	6115
224	FalklandIslands	1930	0	0	0	1930	0	0	0	545352	0	8632	2439107	3539
225	Montserrat	1403	0	8	0	1376	0	19	0	282578	1611	17762	3577442	4965
226	Niue	1059	0	0	0	1056	0	3	0	652898	0	0	0	1622
227	DiamondPrincess	712	0	13	0	699	0	0	0	0	0	0	0	0
228	Tokelau	80	0	0	0	0	0	80	0	58055	0	0	0	1378
229	VaticanCity	29	0	0	0	29	0	0	0	36295	0	0	0	799
230	WesternSahara	10	0	1	0	9	0	0	0	16	2	0	0	626161
231	MSZaandam	9	0	2	0	7	0	0	0	0	0	0	0	0
